"ID","GENERO","RENTA","EDAD","NIV_EDUC","E_CIVIL","COD_OFI","COD_COM","CIUDAD","D_Marzo","D_Abril","D_Mayo","D_Junio","D_Julio","D_Agosto","D_Septiembre","M_MOROSO","MONTO","SEGURO","FUGA"
2327,"M",795436,29,"UNV","CAS",127,88,"SANTIAGO",0,317744,0,834141,11,8863,329,2,4100000,"NO",NA
2328,"M",65392,36,"UNV","CAS",72,504,"EL SALVADOR",196862,95699,0,0,851,0,0,1,1400000,"SI",NA
2329,"M",1321843,40,"MED","CAS",10,5,"IQUIQUE",0,0,0,315952,0,8657,502,0,8000000,"SI",NA
2330,"M",110208,53,"TEC","CAS",27,226,"CONCEPCION",2307763,42020,0,2525355,7508,10836,4652,2,3000000,"SI",NA
2331,"M",910117,52,"MED","CAS",27,226,"CONCEPCION",1561289,154508,0,322047,3197,1779,14914,2,6000000,"NO",NA
2332,"M",36245,52,"MED","CAS",27,226,"CONCEPCION",0,110092,0,0,14,615,0,1,4500000,"NO",NA
2333,"F",189396,24,"TEC","CAS",122,284,"OSORNO",93966,142864,0,4956,490,0,18,1,1100000,"NO",NA
2334,"F",101536,31,"UNV","SOL",47,66,"VALPARAISO",0,24922,0,179875,51,0,88,1,1800000,"SI",NA
2335,"M",1200733,49,"TEC","CAS",52,104,"SANTIAGO",0,1220929,0,91314,1007,11707,7618,2,6400000,"NO",NA
2336,"M",474138,31,"MED","SEP",44,176,"SAN CLEMENTE",0,154179,0,391679,75,0,69,1,2400000,"SI",NA
2337,"F",188606,35,"TEC","VIU",90,291,"PUERTO MONTT",0,0,7812690,0,0,0,5907,0,2400000,"SI",NA
2338,"M",1581705,46,"UNV","CAS",55,90,"SANTIAGO",350854,111623,0,1243925,2995,0,18620,2,1000000,"SI",NA
2339,"M",1373197,44,"MED","CAS",138,1,"ARICA",0,15669,0,779886,2030,0,10987,2,5100000,"NO",NA
2340,"F",947855,58,"TEC","CAS",45,93,"SANTIAGO",0,337903,0,0,120,0,0,1,6500000,"SI",NA
2341,"F",47965,48,NA,"SOL",34,31,"COQUIMBO",807407,262507,0,0,314,115,384,1,2400000,"SI",NA
2342,"M",25330,49,"MED","CAS",138,1,"ARICA",0,44867,0,445668,433,0,564,2,600000,"SI",NA
2343,"F",20497,56,"TEC","SOL",21,502,"CHUQUICAMATA",0,182793,0,0,0,26918,0,0,8000000,"SI",NA
2344,"M",19852,40,"MED","SOL",34,29,"LA SERENA",2709248,181004,0,100403,513,6780,0,2,700000,"NO",NA
2345,"M",803008,40,"UNV","CAS",59,85,"SANTIAGO",0,824211,0,161332,379,0,316,1,8000000,"NO",NA
2346,"M",917414,44,"MED","CAS",91,279,"PANGUIPULLI",0,40022,0,222310,73,0,1127,1,4700000,"NO",NA
2347,"F",52043,49,"TEC","SOL",151,226,"CONCEPCION",0,1721281,0,0,810,0,0,1,8000000,"SI",NA
2348,"M",342778,52,"UNV","CAS",27,226,"CONCEPCION",110326,10191,0,97144,1233,10932,92,3,750000,"NO",NA
2349,"F",938246,40,"UNV","SEP",102,90,"SANTIAGO",0,249681,0,80077,354,0,26,2,3400000,"NO",NA
2350,"F",149524,52,"UNV","CAS",27,226,"CONCEPCION",2531546,473184,0,211546,3580,0,3108,3,2200000,"SI",NA
2351,"M",861796,49,"UNV","SOL",155,88,"SANTIAGO",0,429811,0,0,79,18723,17861,1,8000000,"NO",NA
2352,"M",328872,45,"UNV","CAS",31,119,"SANTIAGO",0,544676,0,0,0,0,179,1,1500000,"NO",NA
2353,"M",17817,57,"UNV","SOL",27,226,"CONCEPCION",0,0,0,922981,0,0,592,0,2400000,"NO",NA
2354,"M",335661,55,"MED","CAS",27,226,"CONCEPCION",0,8869,0,1575657,159,4505,3125,1,2400000,"NO",NA
2355,"M",302760,36,"UNV","CAS",90,89,"SANTIAGO",0,0,0,594852,0,0,538,0,6000000,"NO",NA
2356,"F",284796,28,"TEC","CAS",132,99,"SANTIAGO",0,72716,0,0,357,0,0,3,1200000,"NO",NA
2357,"F",112515,49,"UNV","CAS",90,105,"SANTIAGO",0,804,401930,304645,866,0,3828,2,1000000,"NO",NA
2358,"F",18227,45,"TEC","SOL",149,87,"SANTIAGO",0,9935,0,0,0,0,0,0,2100000,"SI",NA
2359,"M",313214,47,"UNV","SOL",138,1,"ARICA",0,0,0,0,402,0,0,2,700000,"NO",NA
2360,"F",632418,50,"TEC","SOL",138,1,"ARICA",0,192288,0,51350,19,0,34,3,2000000,"NO",NA
2361,"F",10786,40,"TEC","SOL",40,67,"VINA DEL MAR",0,182923,0,0,0,0,1218,1,2400000,"SI",NA
2362,"M",967910,40,"UNV","SEP",30,98,"SANTIAGO",41735,1479993,0,481009,961,0,503,3,1900000,"NO",NA
2363,"F",2844545,44,"MED","CAS",52,90,"SANTIAGO",376235,1311,0,90472,684,18522,1,1,8000000,"NO",NA
2364,"M",514628,33,"TEC","CAS",138,89,"SANTIAGO",0,972270,0,0,0,1837,1565,0,3300000,"SI",NA
2365,"M",76690,38,"UNV","CAS",56,146,"DONIHUE",0,151400,0,19360,145,0,0,1,1800000,"NO",NA
2366,"F",156210,54,"UNV","SOL",24,86,"SANTIAGO",0,673,0,29706,3,0,0,1,2400000,"NO",NA
2367,"F",116747,48,"UNV","CAS",138,1,"ARICA",0,1655,0,0,8,0,0,1,2300000,"NO",NA
2368,"M",110503,48,"UNV","CAS",138,1,"ARICA",0,102285,0,0,3,0,0,1,1900000,"NO",NA
2369,"M",619464,41,"UNV","CAS",31,119,"SANTIAGO",0,8977,1494698,0,340,0,73,1,2400000,"NO",NA
2370,"M",501752,49,"UNV","SOL",138,1,"ARICA",445077,318,0,421870,1805,0,570,2,1100000,"SI",NA
2371,"M",527021,53,"UNV","CAS",17,80,"SANTIAGO",146767,1241110,0,120686,1746,50552,180,1,1200000,"NO",NA
2372,"F",502507,46,"UNV","CAS",31,119,"SANTIAGO",0,267251,0,0,29,6400,0,1,4200000,"NO",NA
2373,"F",593145,47,"UNV","CAS",71,326,"PUNTA ARENAS",0,229104,0,0,5,0,0,1,2000000,"SI",NA
2374,"M",268522,42,"UNV","CAS",45,89,"SANTIAGO",0,217027,0,236655,0,0,3,1,1700000,"NO",NA
2375,"M",331972,50,"UNV","VIU",108,118,"SANTIAGO",0,25837,0,0,521,1153,0,1,3700000,"NO",NA
2376,"F",72,45,"TEC","SOL",72,504,"EL SALVADOR",0,617106,0,18693,1544,0,1026,1,900000,"SI",NA
2377,"F",56185,42,"TEC","SEP",44,92,"SANTIAGO",0,164959,0,0,28,21400,622,1,2100000,"SI",NA
2378,"F",509412,39,"TEC","SOL",90,92,"SANTIAGO",0,0,0,0,2900,6775,27046,1,700000,"NO",NA
2379,"M",10502,43,"MED","CAS",55,90,"SANTIAGO",728398,315784,0,511978,71,20306,1823,3,8000000,"SI",NA
2380,"M",364932,52,"MED","CAS",27,226,"CONCEPCION",0,42210,0,5056,131,0,49,1,2300000,"NO",NA
2381,"M",2341685,30,"MED","CAS",101,88,"SANTIAGO",0,797127,0,133973,456,0,187,1,8000000,"NO",NA
2382,"M",110790,53,"TEC","SOL",27,226,"CONCEPCION",0,448236,0,21608,328,0,420,1,1700000,"NO",NA
2383,"M",586336,42,"UNV","CAS",71,326,"PUNTA ARENAS",0,0,0,0,1437,0,3920,2,8000000,"NO",NA
2384,"F",1591133,36,"MED","SEP",86,105,"SANTIAGO",0,76415,0,0,27,11399,2,1,5500000,"NO",NA
2385,"M",346461,48,"MED","CAS",127,105,"SANTIAGO",0,1855,0,11045,1210,0,1,3,900000,"NO",NA
2386,"M",526845,35,"TEC","SOL",29,90,"SANTIAGO",359389,289175,0,0,391,0,0,1,1900000,"NO",NA
2387,"M",17340,44,"UNV","CAS",55,90,"SANTIAGO",0,851,0,172683,1824,0,464,3,1200000,"NO",NA
2388,"M",40048,45,"UNV","CAS",55,90,"SANTIAGO",0,912713,0,0,870,13682,691,1,8000000,"NO",NA
2389,"F",35225,46,"TEC","SOL",103,93,"SANTIAGO",0,131783,0,0,1,0,0,1,1600000,"SI",NA
2390,"F",122249,52,"TEC","CAS",39,84,"SANTIAGO",287523,4080,0,121476,68,0,80,2,900000,"NO",NA
2391,"M",325481,24,"UNV","CAS",82,88,"SANTIAGO",0,79625,0,0,2,0,169,1,1700000,"NO",NA
2392,"M",6216,42,"UNV","CAS",125,81,"SANTIAGO",0,424063,0,849685,5,9151,908,1,2700000,"NO",NA
2393,"F",3484840,31,"TEC","SOL",14,22,"COPIAPO",0,0,0,0,0,0,10,0,4000000,"NO",NA
2394,"M",508147,39,"TEC","CAS",73,87,"SANTIAGO",0,60953,0,0,568,3073,3750,2,8000000,"NO",NA
2395,"M",537160,54,"UNV","CAS",90,90,"SANTIAGO",0,680246,0,161470,0,0,0,1,1800000,"NO",NA
2396,"M",3287056,59,"UNV","SOL",84,85,"SANTIAGO",0,285124,0,188995,1082,51432,0,3,8000000,"NO",NA
2397,"M",156128,50,"UNV","SOL",52,94,"SANTIAGO",0,223072,0,0,67,0,0,1,1700000,"NO",NA
2398,"F",516047,28,"UNV","SOL",60,291,"PUERTO MONTT",0,30196,0,27469,157,0,231,2,2300000,"NO",NA
2399,"F",2389025,32,"TEC","VIU",35,105,"SANTIAGO",0,2933,0,154966,298,1523,147,3,1400000,"NO",NA
2400,"M",48429,54,"MED","SOL",122,97,"SANTIAGO",0,307792,0,35946,247,0,8,1,4000000,"NO",NA
2401,"M",411952,29,"UNV","CAS",39,84,"SANTIAGO",218689,175528,0,198402,984,0,7,1,2800000,"NO",NA
2402,"F",43254,42,"TEC","SOL",95,316,"AYSEN",0,668591,4960853,2831423,133,0,11488,1,2600000,"SI",NA
2403,"M",4367380,43,"UNV","CAS",55,90,"SANTIAGO",188943,251941,0,61481,1617,0,31027,2,500000,"NO",NA
2404,"M",248437,32,"BAS","SEP",31,120,"SANTIAGO",163230,223790,0,20123,156,0,71,1,1500000,"SI",NA
2405,"M",857241,33,"UNV","CAS",55,90,"SANTIAGO",0,130126,0,156268,5,0,75,3,1700000,"NO",NA
2406,"M",1048919,47,"UNV","CAS",76,80,"SANTIAGO",0,232019,0,0,47,0,0,1,5700000,"NO",NA
2407,"M",786016,40,"MED","CAS",90,109,"SANTIAGO",0,63626,0,0,154,0,0,1,1900000,"NO",NA
2408,"M",822419,37,"UNV","CAS",90,89,"SANTIAGO",0,952206,0,43623,0,6719,0,0,4700000,"NO",NA
2409,"M",1806119,59,"TEC","SOL",28,110,"SANTIAGO",0,0,0,0,7760,3042,11,2,8000000,"NO",NA
2410,"F",3340519,38,"TEC","SOL",64,314,"COYHAIQUE",0,561942,0,66285,610,0,0,1,8000000,"NO",NA
2411,"M",90786,55,"MED","SOL",144,86,"SANTIAGO",0,219306,0,7517,1535,0,788,3,2100000,"NO",NA
2412,"M",130751,40,"TEC","CAS",16,89,"SANTIAGO",1708634,22647,0,140057,3720,5713,2718,2,4400000,"NO",NA
2413,"M",1610852,48,"MED","CAS",84,102,"SANTIAGO",0,1981073,0,150131,349,0,323,1,8000000,"NO",NA
2414,"M",221218,48,"UNV","CAS",127,85,"SANTIAGO",0,1220442,0,0,141,0,101,2,8000000,"NO",NA
2415,"M",419233,50,"UNV","CAS",31,119,"SANTIAGO",0,1227,0,100551,18,0,131,1,1800000,"NO",NA
2416,"M",202,41,"UNV","CAS",55,90,"SANTIAGO",0,1691532,0,240549,670,7202,315,2,4400000,"NO",NA
2417,"F",45141,48,"TEC","SOL",51,88,"SANTIAGO",0,218225,0,0,0,0,69,0,5800000,"SI",NA
2418,"F",825436,33,"TEC","SOL",61,284,"OSORNO",948039,529107,0,289820,1858,0,75,1,1900000,"NO",NA
2419,"F",30841,60,"MED","SOL",102,85,"SANTIAGO",0,814649,0,0,672,17578,824,1,8000000,"SI",NA
2420,"F",9785,42,"UNV","CAS",76,98,"SANTIAGO",0,55883,0,0,1,0,0,1,2200000,"NO",NA
2421,"M",519902,46,"MED","CAS",31,119,"SANTIAGO",0,34172,0,57218,0,0,4739,1,1900000,"NO",NA
2422,"M",398861,32,"UNV","CAS",48,107,"SANTIAGO",0,292999,0,0,43,0,65,2,1900000,"NO",NA
2423,"M",11045,39,"MED","CAS",100,94,"SANTIAGO",294639,40207,0,13255,1655,0,35,2,4300000,"NO",NA
2424,"M",50200,48,"UNV","CAS",48,85,"SANTIAGO",0,4528,0,198145,0,11091,422,1,5200000,"NO",NA
2425,"F",3464,51,"TEC","SOL",152,93,"SANTIAGO",0,297604,0,234790,0,0,1607,0,4800000,"SI",NA
2426,"M",464759,49,"UNV","SEP",31,119,"SANTIAGO",0,276389,0,1036342,0,0,1683,1,1700000,"NO",NA
2427,"M",11814,49,"UNV","CAS",55,90,"SANTIAGO",0,22937,0,37766,36,0,81,2,1800000,"SI",NA
2428,"F",402635,50,"MED","CAS",12,13,"CALAMA",77264,0,0,0,174,0,0,1,1000000,"NO",NA
2429,"M",809645,56,"MED","CAS",90,88,"SANTIAGO",0,0,0,0,4,0,0,1,8000000,"NO",NA
2430,"F",169887,42,"MED","CAS",67,193,"CHILLAN",0,0,0,0,0,0,0,0,2000000,"NO",NA
2431,"F",2966475,39,"TEC","SOL",21,22,"COPIAPO",0,0,0,0,0,13508,4234,0,2400000,"NO",NA
2432,"F",686881,56,"MED","CAS",19,117,"SANTIAGO",0,1915612,0,0,225,9826,0,1,3000000,"NO",NA
2433,"M",512010,47,"MED","CAS",138,1,"ARICA",491324,11190,0,212672,1344,0,8,1,500000,"SI",NA
2434,"F",377193,42,"TEC","SEP",38,103,"SANTIAGO",0,2892,0,0,20,0,3,1,2100000,"NO",NA
2435,"M",1195649,53,"UNV","CAS",31,92,"SANTIAGO",0,155407,642574,1977499,4256,3319,1227,2,1900000,"NO",NA
2436,"M",1059501,34,"UNV","SOL",77,227,"TALCAHUANO",0,737743,0,1824638,0,0,644,0,8000000,"NO",NA
2437,"F",37339,41,"TEC","SOL",90,93,"SANTIAGO",0,26482,0,0,2,0,0,1,2400000,"SI",NA
2438,"M",3530,48,"MED","CAS",138,1,"ARICA",0,89413,0,680141,5,0,821,1,1800000,"NO",NA
2439,"F",269171,32,"TEC","CAS",88,61,"LA CALERA",0,3807,0,287922,1150,0,379,3,2000000,"NO",NA
2440,"M",471870,55,"MED","SEP",90,90,"SANTIAGO",0,0,1391983,0,0,0,2237,1,2000000,"NO",NA
2441,"M",1639218,35,"UNV","CAS",72,504,"EL SALVADOR",0,25631,0,0,415,1076,303,1,8000000,"NO",NA
2442,"M",23939,40,"UNV","CAS",28,98,"SANTIAGO",0,0,0,365831,68,0,826,3,5600000,"NO",NA
2443,"M",9422141,43,"UNV","CAS",131,80,"SANTIAGO",0,192420,0,142282,54,0,14,1,1600000,"NO",NA
2444,"M",751424,53,"UNV","CAS",27,226,"CONCEPCION",0,530407,0,0,534,0,2556,2,5000000,"NO",NA
2445,"M",125830,55,"TEC","CAS",28,118,"SANTIAGO",0,394703,0,10434,407,0,0,1,1600000,"SI",NA
2446,"F",42948,47,"TEC","SOL",18,85,"SANTIAGO",0,0,0,0,1093,0,2063,1,6000000,"SI",NA
2447,"M",722398,42,"MED","CAS",138,1,"ARICA",2783794,594319,0,0,1661,0,393,2,2200000,"SI",NA
2448,"F",208515,29,"UNV","CAS",49,81,"SANTIAGO",2437273,246958,2132853,0,632,0,0,1,2600000,"NO",NA
2449,"F",450956,46,"TEC","CAS",138,1,"ARICA",0,140896,0,347052,297,0,1035,1,2300000,"NO",NA
2450,"F",729104,30,"TEC","CAS",54,85,"SANTIAGO",0,184,1180463,245008,126,26643,13065,1,4300000,"SI",NA
2451,"M",319704,38,"MED","CAS",12,13,"CALAMA",0,15644,0,0,77,6443,0,1,5800000,"NO",NA
2452,"M",423603,51,"MED","CAS",138,1,"ARICA",60275,155571,0,432,383,8798,7833,1,1100000,"NO",NA
2453,"F",199352,44,"UNV","SEP",83,88,"SANTIAGO",0,40596,0,402202,1818,0,215,3,1500000,"NO",NA
2454,"F",37340,49,"MED","VIU",13,29,"LA SERENA",165500,0,0,0,368,6147,0,1,2800000,"SI",NA
2455,"M",48860,43,"UNV","CAS",55,90,"SANTIAGO",0,516953,0,1292660,0,0,1171,1,4200000,"SI",NA
2456,"F",2477444,42,"TEC","SOL",67,193,"CHILLAN",0,328249,0,112456,0,0,335,0,4300000,"NO",NA
2457,"M",186118,36,"MED","CAS",66,253,"TEMUCO",413939,121376,0,0,513,0,0,2,1100000,"NO",NA
2458,"M",330248,38,"MED","CAS",43,70,"QUILPUE",0,231014,0,0,1,0,0,1,1600000,"NO",NA
2459,"M",2542408,41,"UNV","CAS",55,90,"SANTIAGO",0,565498,0,76916,47,0,14,2,1600000,"SI",NA
2460,"F",39675,60,"MED","VIU",86,50,"SAN ESTEBAN",522407,0,0,0,608,0,805,1,1500000,"SI",NA
2461,"F",1378434,59,"TEC","CAS",28,110,"SANTIAGO",0,0,0,0,3396,18566,55,1,8000000,"NO",NA
2462,"M",1016281,55,"TEC","CAS",55,91,"SANTIAGO",0,394283,0,291510,1119,2739,401,1,1600000,"NO",NA
2463,"M",255197,34,"MED","CAS",82,84,"SANTIAGO",0,196566,0,279968,1552,120,515,2,1200000,"NO",NA
2464,"F",5086551,32,"TEC","SOL",20,314,"COYHAIQUE",0,0,0,0,1656,0,0,1,3000000,"NO",NA
2465,"F",4374,42,"TEC","SOL",30,91,"SANTIAGO",0,0,0,0,90,0,0,1,550000,"SI",NA
2466,"M",252403,36,"UNV","CAS",63,301,"ANCUD",0,208063,0,22317,495,0,0,1,1600000,"NO",NA
2467,"F",12041,40,"TEC","SOL",90,80,"SANTIAGO",0,151559,0,0,249,0,2,1,2000000,"SI",NA
2468,"M",196794,45,"MED","CAS",68,213,"LOS ANGELES",0,0,0,1479896,0,0,1446,0,4100000,"NO",NA
2469,"M",743849,42,"UNV","CAS",55,90,"SANTIAGO",981037,96126,0,0,1763,283,0,2,3500000,"NO",NA
2470,"F",5914343,44,"UNV","CAS",55,90,"SANTIAGO",914768,143339,0,124804,2567,0,435,1,1200000,"NO",NA
2471,"M",2197364,45,"TEC","CAS",102,90,"SANTIAGO",0,133036,0,0,285,0,14938,3,8000000,"NO",NA
2472,"M",624062,48,"MED","SOL",25,106,"SANTIAGO",0,267256,0,1005808,682,0,299,1,1000000,"NO",NA
2473,"F",572883,60,"MED","CAS",68,213,"LOS ANGELES",1129768,1870233,676915,0,0,0,1879,0,2500000,"NO",NA
2474,"M",305187,36,"UNV","CAS",12,13,"CALAMA",0,113562,0,200843,0,1287,241,0,2000000,"NO",NA
2475,"M",288302,43,"UNV","CAS",55,90,"SANTIAGO",0,0,0,0,186,0,0,1,1800000,"NO",NA
2476,"F",418679,24,"TEC","SOL",39,80,"SANTIAGO",0,364221,0,0,59,0,0,1,1300000,"SI",NA
2477,"F",480865,49,"UNV","CAS",138,1,"ARICA",0,0,0,367895,0,0,453,1,5000000,"NO",NA
2478,"F",1454789,47,NA,"SOL",138,1,"ARICA",0,853223,2300459,0,0,0,5512,1,8000000,"NO",NA
2479,"M",12602,47,"UNV","CAS",55,90,"SANTIAGO",0,13569,0,0,333,0,9976,2,4900000,"SI",NA
2480,"F",236240,37,"UNV","SEP",60,292,"PUERTO VARAS",0,206488,0,0,15,0,0,1,3700000,"NO",NA
2481,"M",244275,50,"UNV","CAS",83,85,"SANTIAGO",0,10585,0,447166,529,2891,95,3,2300000,"NO",NA
2482,"F",1145664,41,"TEC","VIU",82,85,"SANTIAGO",0,0,0,0,2,0,2892,1,5000000,"NO",NA
2483,"M",297591,27,"MED","SOL",31,119,"SANTIAGO",0,243840,0,27732,627,0,87,1,1400000,"NO",NA
2484,"F",213082,28,"TEC","CAS",103,93,"SANTIAGO",1926687,381,0,176871,2414,0,51,1,1500000,"NO",NA
2485,"F",154200,50,"TEC","CAS",90,97,"SANTIAGO",1309319,1002,0,19576,43,0,122,1,2300000,"NO",NA
2486,"M",1308405,47,"UNV","CAS",138,1,"ARICA",0,14185,0,0,7,13690,129,1,8000000,"NO",NA
2487,"F",1040949,48,"MED","CAS",65,77,"EL QUISCO",0,308181,0,0,8,0,6263,1,7000000,"SI",NA
2488,"M",1368706,48,"TEC","CAS",52,93,"SANTIAGO",0,12355,0,2031206,4255,14497,474,3,8000000,"NO",NA
2489,"M",164431,53,"UNV","CAS",27,226,"CONCEPCION",0,0,0,0,0,3288,0,1,6000000,"NO",NA
2490,"M",1112186,50,"MED",NA,19,88,"SANTIAGO",459916,1965669,0,1282610,1427,9696,6199,3,8000000,"NO",NA
2491,"M",563012,34,"UNV",NA,82,84,"SANTIAGO",0,147588,0,248474,1436,4364,233,2,1200000,"NO",NA
2492,"M",5754232,40,"MED",NA,16,88,"SANTIAGO",1573239,115544,0,0,1730,0,1,2,4700000,"NO",NA
2493,"M",450035,51,"UNV","SOL",138,1,"ARICA",0,263372,0,0,712,0,0,1,1800000,"NO",NA
2494,"F",2796638,45,"MED","CAS",102,90,"SANTIAGO",0,96601,0,0,85,0,22839,3,8000000,"NO",NA
2495,"F",458849,40,"TEC","CAS",12,13,"CALAMA",0,203729,0,16810,519,12413,1240,2,1800000,"NO",NA
2496,"F",549158,33,"MED","SOL",90,99,"SANTIAGO",0,718490,0,329,74,0,186,1,1900000,"NO",NA
2497,NA,2072,38,"TEC","SOL",30,98,"SANTIAGO",0,0,0,0,582,389,0,1,1200000,"NO",NA
2498,NA,298786,40,"UNV","CAS",31,119,"SANTIAGO",0,53536,0,0,22,0,0,1,2000000,"NO",NA
2499,NA,70688,54,"MED","CAS",27,226,"CONCEPCION",0,665835,0,0,0,0,5,1,3100000,"NO",NA
2500,NA,148233,45,"MED","CAS",59,88,"SANTIAGO",0,0,0,0,583,1349,0,1,6800000,"NO",NA
2501,"F",399297,55,"UNV","CAS",27,226,"CONCEPCION",0,0,0,240599,0,0,486,1,5000000,"NO",NA
2502,"M",52995,32,"UNV","SOL",17,88,"SANTIAGO",0,94790,0,0,102,2432,1,2,2200000,"NO",NA
2503,"M",1121075,50,"MED","VIU",49,110,"SANTIAGO",368496,0,0,0,256,0,473,1,8000000,"NO",NA
2504,"M",254632,48,"UNV","CAS",138,1,"ARICA",0,0,0,273544,0,425,88,1,2000000,"NO",NA
2505,"M",1023546,42,"TEC","CAS",72,504,"EL SALVADOR",3484883,505146,0,84980,2826,0,312,1,4400000,"SI",NA
2506,"M",847516,36,"UNV","SOL",74,272,"VALDIVIA",0,724856,0,0,0,0,0,NA,6400000,"NO",NA
2507,"F",59073,42,"TEC","SOL",13,16,"ANTOFAGASTA",3624014,891022,746196,0,1661,0,349,NA,4500000,"SI",NA
2508,"F",6149761,30,"TEC","SOL",60,291,"PUERTO MONTT",0,13640,0,113865,912,0,627,1,1600000,"NO",NA
2509,"F",341112,27,"TEC","SOL",90,88,"SANTIAGO",0,0,7175046,0,71,0,10695,1,2000000,"NO",NA
2510,"F",3599,39,NA,"SOL",61,284,"OSORNO",0,300357,0,0,73,0,0,1,1600000,"SI",NA
2511,"M",210789,34,NA,"CAS",19,93,"SANTIAGO",233576,325964,0,280884,274,0,305,3,1300000,"NO",NA
2512,"F",131755,45,NA,"CAS",40,67,"VINA DEL MAR",566148,125603,0,1200513,1140,0,257,1,650000,"NO",NA
2513,"M",361649,40,NA,"CAS",62,298,"LLANQUIHUE",0,300538,0,571698,4,6408,70,1,6300000,"SI",NA
2514,"M",8455,40,"UNV","CAS",55,90,"SANTIAGO",0,507,0,53572,649,27220,705,2,3000000,"NO",NA
2515,"M",779979,53,"UNV","SOL",27,226,"CONCEPCION",0,0,0,0,1643,361,0,3,800000,"NO",NA
